Device: cuda
torch.cuda.get_device_name: AMD Radeon RX 7900 XTX
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 4025.76it/s]
pid:29426 tid:0x7ca8c57de080 [GetSegmentId] Failed to get segment id for type 1
pid:29426 tid:0x7ca8c57de080 [GetSegmentId] Failed to get segment id for type 1
{'epoch': 0, 'global_step': 160, 'optimizer_step': 160, 'did_optimizer_step': True, 'loss': 2.605044460296631, 'lr': 0.0002894845360824742, 'step_time_sec': 0.16064763069152832, 'optimizer_time_sec': 0.03284096717834473, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 26.6677463054657}
{'epoch': 0, 'global_step': 170, 'optimizer_step': 170, 'did_optimizer_step': True, 'loss': 2.563759756088257, 'lr': 0.00028824742268041237, 'step_time_sec': 0.15563058853149414, 'optimizer_time_sec': 0.026418209075927734, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 28.258733987808228}
{'epoch': 0, 'global_step': 180, 'optimizer_step': 180, 'did_optimizer_step': True, 'loss': 2.3924128651618957, 'lr': 0.0002870103092783505, 'step_time_sec': 0.1559300422668457, 'optimizer_time_sec': 0.027226686477661133, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 29.852498769760132}
{'epoch': 0, 'global_step': 190, 'optimizer_step': 190, 'did_optimizer_step': True, 'loss': 2.6501767873764037, 'lr': 0.0002857731958762886, 'step_time_sec': 0.15304946899414062, 'optimizer_time_sec': 0.028587818145751953, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 31.429428815841675}
{'epoch': 0, 'global_step': 200, 'optimizer_step': 200, 'did_optimizer_step': True, 'loss': 2.6374725103378296, 'lr': 0.0002845360824742268, 'step_time_sec': 0.15560626983642578, 'optimizer_time_sec': 0.028592348098754883, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 32.999183654785156}
{'epoch': 0, 'global_step': 210, 'optimizer_step': 210, 'did_optimizer_step': True, 'loss': 2.407468855381012, 'lr': 0.00028329896907216493, 'step_time_sec': 0.15559172630310059, 'optimizer_time_sec': 0.02869725227355957, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 34.582226037979126}
{'epoch': 0, 'global_step': 220, 'optimizer_step': 220, 'did_optimizer_step': True, 'loss': 2.523978042602539, 'lr': 0.0002820618556701031, 'step_time_sec': 0.15578293800354004, 'optimizer_time_sec': 0.02844071388244629, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 36.16146540641785}
{'epoch': 0, 'global_step': 230, 'optimizer_step': 230, 'did_optimizer_step': True, 'loss': 2.5984468936920164, 'lr': 0.0002808247422680412, 'step_time_sec': 0.15107369422912598, 'optimizer_time_sec': 0.02853846549987793, 'mem_alloc_gb': 1.6328487396240234, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 37.73124980926514}
{'epoch': 0, 'global_step': 240, 'optimizer_step': 240, 'did_optimizer_step': True, 'loss': 2.4893917798995973, 'lr': 0.00027958762886597934, 'step_time_sec': 0.12298369407653809, 'optimizer_time_sec': 0.029021501541137695, 'mem_alloc_gb': 1.4809026718139648, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 39.27469515800476}
{'epoch': 0, 'global_step': 250, 'optimizer_step': 250, 'did_optimizer_step': True, 'loss': 2.5177658557891847, 'lr': 0.0002783505154639175, 'step_time_sec': 0.15672922134399414, 'optimizer_time_sec': 0.028921127319335938, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 40.86785411834717}
{'epoch': 0, 'global_step': 260, 'optimizer_step': 260, 'did_optimizer_step': True, 'loss': 2.5648897171020506, 'lr': 0.00027711340206185565, 'step_time_sec': 0.15633392333984375, 'optimizer_time_sec': 0.02911663055419922, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 42.44590377807617}
{'epoch': 0, 'global_step': 270, 'optimizer_step': 270, 'did_optimizer_step': True, 'loss': 2.411335122585297, 'lr': 0.00027587628865979375, 'step_time_sec': 0.15907955169677734, 'optimizer_time_sec': 0.030323028564453125, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 44.0308620929718}
{'epoch': 0, 'global_step': 280, 'optimizer_step': 280, 'did_optimizer_step': True, 'loss': 2.5337059259414674, 'lr': 0.0002746391752577319, 'step_time_sec': 0.15618085861206055, 'optimizer_time_sec': 0.029167890548706055, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.543671131134033, 'elapsed_sec': 45.612080574035645}
{'epoch': 0, 'global_step': 290, 'optimizer_step': 290, 'did_optimizer_step': True, 'loss': 2.505570983886719, 'lr': 0.00027340206185567006, 'step_time_sec': 0.15477776527404785, 'optimizer_time_sec': 0.028066635131835938, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.54367208480835, 'elapsed_sec': 47.19273018836975}
{'epoch': 0, 'global_step': 300, 'optimizer_step': 300, 'did_optimizer_step': True, 'loss': 2.606156027317047, 'lr': 0.0002721649484536082, 'step_time_sec': 0.15735197067260742, 'optimizer_time_sec': 0.02893996238708496, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.54367208480835, 'elapsed_sec': 48.77181077003479}
{'epoch': 0, 'global_step': 310, 'optimizer_step': 310, 'did_optimizer_step': True, 'loss': 2.5079155921936036, 'lr': 0.0002709278350515464, 'step_time_sec': 0.15517139434814453, 'optimizer_time_sec': 0.02877664566040039, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.54367208480835, 'elapsed_sec': 50.35560894012451}
{'epoch': 0, 'global_step': 320, 'optimizer_step': 320, 'did_optimizer_step': True, 'loss': 2.605339860916138, 'lr': 0.00026969072164948453, 'step_time_sec': 0.1570119857788086, 'optimizer_time_sec': 0.029358863830566406, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.54367208480835, 'elapsed_sec': 51.941152811050415}
{'epoch': 0, 'global_step': 330, 'optimizer_step': 330, 'did_optimizer_step': True, 'loss': 2.601915454864502, 'lr': 0.0002684536082474227, 'step_time_sec': 0.15623950958251953, 'optimizer_time_sec': 0.029086589813232422, 'mem_alloc_gb': 1.6722068786621094, 'mem_reserved_gb': 8.794921875, 'mem_peak_gb': 7.54367208480835, 'elapsed_sec': 53.5238983631134}
