run_name,optimizer_name,learning_rate,epochs,num_train_samples,max_seq_len,micro_batch_size,grad_accum_steps,effective_batch_size,epoch,global_step,optimizer_step,did_optimizer_step,loss,lr,step_time_sec,optimizer_time_sec,mem_alloc_gb,mem_reserved_gb,mem_peak_gb,elapsed_sec
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,10,10,True,4.4277434825897215,0.00013333333333333334,0.12540483474731445,0.0010273456573486328,1.6737327575683594,8.77734375,7.545685291290283,2.773775815963745
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,20,20,True,5.107247996330261,0.0002666666666666667,0.11646842956542969,0.0011425018310546875,1.5924596786499023,8.77734375,7.545685291290283,4.042903900146484
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,30,30,True,3.08978910446167,0.0004,0.1251981258392334,0.0009968280792236328,1.6742210388183594,8.783203125,7.545685291290283,5.313748121261597
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,40,40,True,2.6551214933395384,0.0005333333333333334,0.12712645530700684,0.001093149185180664,1.6742210388183594,8.783203125,7.545685291290283,6.58968186378479
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,50,50,True,2.411790680885315,0.0006666666666666666,0.12484264373779297,0.0009083747863769531,1.6742210388183594,8.783203125,7.545685291290283,7.86844801902771
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,60,60,True,2.4788399577140807,0.0008,0.12763476371765137,0.0011186599731445312,1.6742210388183594,8.783203125,7.545685291290283,9.151910781860352
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,70,70,True,2.312721085548401,0.0009333333333333333,0.12537097930908203,0.0009953975677490234,1.6742210388183594,8.783203125,7.545685291290283,10.432103395462036
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,80,80,True,2.4768195271492006,0.0009979381443298969,0.12569761276245117,0.0009462833404541016,1.6742210388183594,8.783203125,7.545685291290283,11.71535849571228
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,90,90,True,2.55638302564621,0.0009938144329896907,0.12453675270080566,0.0011382102966308594,1.6742210388183594,8.783203125,7.545685291290283,12.995293378829956
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,100,100,True,2.3815595626831056,0.0009896907216494846,0.12716388702392578,0.0011780261993408203,1.6742210388183594,8.796875,7.545685291290283,14.252089977264404
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,110,110,True,2.5850115776062013,0.0009855670103092785,0.12454724311828613,0.0008387565612792969,1.6742210388183594,8.796875,7.545685291290283,15.544066905975342
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,120,120,True,2.453970193862915,0.0009814432989690722,0.12487339973449707,0.0009090900421142578,1.6742210388183594,8.796875,7.545685291290283,16.835182666778564
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,130,130,True,2.4809029340744018,0.000977319587628866,0.12512755393981934,0.0008251667022705078,1.6742210388183594,8.796875,7.545685291290283,18.10399079322815
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,140,140,True,2.5044858694076537,0.0009731958762886598,0.12665963172912598,0.0008907318115234375,1.666666030883789,8.796875,7.545685291290283,19.37467908859253
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,150,150,True,2.683704686164856,0.0009690721649484536,0.12489724159240723,0.0008337497711181641,1.6742210388183594,8.796875,7.545685291290283,20.657832860946655
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,160,160,True,2.584461140632629,0.0009649484536082474,0.12590885162353516,0.0012240409851074219,1.6742210388183594,8.796875,7.545685291290283,21.939459562301636
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,170,170,True,2.5472764015197753,0.0009608247422680413,0.127105712890625,0.0012233257293701172,1.6742210388183594,8.796875,7.545685291290283,23.2434344291687
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,180,180,True,2.386203932762146,0.0009567010309278351,0.12616586685180664,0.001116037368774414,1.6742210388183594,8.796875,7.545685291290283,24.527453899383545
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,190,190,True,2.6400352835655214,0.0009525773195876288,0.12477827072143555,0.0010819435119628906,1.6742210388183594,8.796875,7.545685291290283,25.80487060546875
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,200,200,True,2.631819558143616,0.0009484536082474226,0.1263904571533203,0.0009763240814208984,1.6742210388183594,8.796875,7.545685291290283,27.07189965248108
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,210,210,True,2.4022729635238647,0.0009443298969072165,0.12603545188903809,0.0011036396026611328,1.6742210388183594,8.796875,7.545685291290283,28.354909658432007
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,220,220,True,2.5201775074005126,0.0009402061855670103,0.12711691856384277,0.0011060237884521484,1.6742210388183594,8.796875,7.545685291290283,29.632097244262695
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,230,230,True,2.5945066452026366,0.0009360824742268042,0.12127017974853516,0.0010464191436767578,1.6348628997802734,8.796875,7.545685291290283,30.914085149765015
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,240,240,True,2.488503074645996,0.000931958762886598,0.09574007987976074,0.0011129379272460938,1.4829168319702148,8.796875,7.545685291290283,32.17844080924988
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,250,250,True,2.5166852116584777,0.0009278350515463918,0.12717318534851074,0.0010828971862792969,1.6742210388183594,8.796875,7.545685291290283,33.52634620666504
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,260,260,True,2.565692496299744,0.0009237113402061856,0.12777948379516602,0.0011525154113769531,1.6742210388183594,8.796875,7.545685291290283,34.81505823135376
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,270,270,True,2.4092655420303344,0.0009195876288659794,0.12689924240112305,0.0011210441589355469,1.6742210388183594,8.796875,7.545685291290283,36.10633611679077
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,280,280,True,2.532658004760742,0.0009154639175257732,0.12635469436645508,0.0011529922485351562,1.6742210388183594,8.796875,7.545685291290283,37.39806008338928
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,290,290,True,2.507386016845703,0.0009113402061855671,0.12744498252868652,0.001018524169921875,1.6742210388183594,8.796875,7.5456862449646,38.720611333847046
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,300,300,True,2.610107624530792,0.0009072164948453608,0.1258716583251953,0.0010225772857666016,1.6742210388183594,8.796875,7.5456862449646,40.000123023986816
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,310,310,True,2.5020594954490663,0.0009030927835051547,0.1264352798461914,0.0009982585906982422,1.6742210388183594,8.796875,7.5456862449646,41.27736949920654
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,320,320,True,2.6072920083999636,0.0008989690721649485,0.12576937675476074,0.0007712841033935547,1.6742210388183594,8.796875,7.5456862449646,42.55834937095642
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,330,330,True,2.6073163986206054,0.0008948453608247423,0.12558865547180176,0.0010073184967041016,1.6742210388183594,8.796875,7.5456862449646,43.829121112823486
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,340,340,True,2.705970025062561,0.0008907216494845362,0.12684845924377441,0.0010709762573242188,1.6742210388183594,8.796875,7.5456862449646,45.1087441444397
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,350,350,True,2.5477736353874207,0.0008865979381443298,0.12584352493286133,0.0008828639984130859,1.6742210388183594,8.796875,7.5456862449646,46.38173246383667
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,360,360,True,2.417916989326477,0.0008824742268041237,0.12323880195617676,0.0007822513580322266,1.6742210388183594,8.796875,7.5456862449646,47.65283536911011
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,370,370,True,2.4073235988616943,0.0008783505154639175,0.1269989013671875,0.0009756088256835938,1.6742210388183594,8.796875,7.5456862449646,48.93714952468872
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,380,380,True,2.5561912059783936,0.0008742268041237114,0.12832379341125488,0.001239776611328125,1.6742210388183594,8.796875,7.5456862449646,50.22665476799011
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,390,390,True,2.5444669485092164,0.0008701030927835052,0.12742948532104492,0.0010921955108642578,1.6742210388183594,8.796875,7.5456862449646,51.534621477127075
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,400,400,True,2.4080870032310484,0.000865979381443299,0.12537240982055664,0.0011386871337890625,1.6742210388183594,8.796875,7.5456862449646,52.82584309577942
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,410,410,True,2.736582398414612,0.0008618556701030928,0.12429141998291016,0.0010790824890136719,1.6742210388183594,8.796875,7.5456862449646,54.10800838470459
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,420,420,True,2.6271969795227053,0.0008577319587628866,0.12608838081359863,0.0009489059448242188,1.6742210388183594,8.796875,7.5456862449646,55.38315796852112
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,430,430,True,2.4683930397033693,0.0008536082474226804,0.1250317096710205,0.0008840560913085938,1.6742210388183594,8.796875,7.5456862449646,56.66036868095398
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,440,440,True,2.7383179664611816,0.0008494845360824743,0.12371110916137695,0.0008211135864257812,1.6742210388183594,8.796875,7.5456862449646,57.929081201553345
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,450,450,True,2.5396960616111754,0.000845360824742268,0.12822628021240234,0.0010099411010742188,1.6742210388183594,8.796875,7.5456862449646,59.211655139923096
adamw_lora,adamw,0.001,2,5000,512,4,1,4,0,460,460,True,2.694665217399597,0.0008412371134020619,0.1261134147644043,0.0009806156158447266,1.6742210388183594,8.796875,7.5456862449646,60.48361873626709
