run_name,optimizer_name,learning_rate,epochs,num_train_samples,max_seq_len,micro_batch_size,grad_accum_steps,effective_batch_size,total_time_sec,peak_mem_gb,optimizer_steps,seed,device,num_log_rows,final_logged_loss,min_logged_loss,avg_last_10_loss,final_logged_lr,max_logged_mem_peak_gb,avg_step_time_sec,avg_optimizer_time_sec
adamw_lora_lr1e3,adamw,0.001,2,5000,512,4,1,4,319.30789613723755,7.546240329742432,2500,42,cuda,250,2.495924472808838,2.2294198870658875,2.517198991775513,0.0,7.546240329742432,0.12464022064208985,0.0009373321533203125
adamw_lora_lr1e4,adamw,0.0001,2,5000,512,4,1,4,318.0657606124878,7.546240329742432,2500,42,cuda,250,2.515233588218689,2.2464378595352175,2.5381661438941956,0.0,7.546240329742432,0.12405824089050294,0.0009228696823120117
adamw_lora_lr3e4,adamw,0.0003,2,5000,512,4,1,4,318.94163489341736,7.546240329742432,2500,42,cuda,250,2.506535029411316,2.2410696744918823,2.5304919230937957,0.0,7.546240329742432,0.12449536418914794,0.000918294906616211
muon_lora_lr1e2,muon,0.01,2,5000,512,4,1,4,398.44878578186035,7.544226169586182,2500,42,cuda,250,6.141344308853149,2.482818675041199,6.072762584686279,0.0,7.544226169586182,0.15628845119476317,0.029284661293029784
muon_lora_lr1e3,muon,0.001,2,4000,512,4,1,4,79.9749653339386,7.543671131134033,500,42,cuda,50,2.4818842887878416,2.2718347549438476,2.492813057899475,0.0,7.543671131134033,0.15356910228729248,0.028401598930358887
muon_lora_lr3e3,muon,0.003,2,5000,512,4,1,4,395.4491858482361,7.544226169586182,2500,42,cuda,250,2.5087198495864866,2.2417425155639648,2.5319352340698242,0.0,7.544226169586182,0.15492168140411378,0.028379022598266603
