Device: cuda
torch.cuda.get_device_name: AMD Radeon RX 7900 XTX
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 3925.46it/s]
pid:7653 tid:0x7f5efaee4080 [GetSegmentId] Failed to get segment id for type 1
pid:7653 tid:0x7f5efaee4080 [GetSegmentId] Failed to get segment id for type 1
{'epoch': 0, 'global_step': 160, 'optimizer_step': 20, 'did_optimizer_step': True, 'loss': 2.929903173446655, 'lr': 0.00017213114754098362, 'step_time_sec': 0.05828571319580078, 'optimizer_time_sec': 0.0008985996246337891, 'mem_alloc_gb': 1.2214279174804688, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 10.216156721115112}
{'epoch': 0, 'global_step': 170, 'optimizer_step': 21, 'did_optimizer_step': False, 'loss': 2.7598488569259643, 'lr': 0.0001704918032786885, 'step_time_sec': 0.04429364204406738, 'optimizer_time_sec': 0.0, 'mem_alloc_gb': 1.1424751281738281, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 10.764453887939453}
{'epoch': 0, 'global_step': 180, 'optimizer_step': 22, 'did_optimizer_step': False, 'loss': 2.9997514963150023, 'lr': 0.00016885245901639346, 'step_time_sec': 0.057123661041259766, 'optimizer_time_sec': 0.0, 'mem_alloc_gb': 1.2234420776367188, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 11.315298080444336}
{'epoch': 0, 'global_step': 190, 'optimizer_step': 23, 'did_optimizer_step': False, 'loss': 2.823187303543091, 'lr': 0.00016721311475409838, 'step_time_sec': 0.05509042739868164, 'optimizer_time_sec': 0.0, 'mem_alloc_gb': 1.2234420776367188, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 11.870336055755615}
{'epoch': 0, 'global_step': 200, 'optimizer_step': 25, 'did_optimizer_step': True, 'loss': 2.93426992893219, 'lr': 0.0001639344262295082, 'step_time_sec': 0.058429718017578125, 'optimizer_time_sec': 0.0008401870727539062, 'mem_alloc_gb': 1.2214279174804688, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 12.406106233596802}
{'epoch': 0, 'global_step': 210, 'optimizer_step': 26, 'did_optimizer_step': False, 'loss': 2.8839050054550173, 'lr': 0.00016229508196721312, 'step_time_sec': 0.057793617248535156, 'optimizer_time_sec': 0.0, 'mem_alloc_gb': 1.2234420776367188, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 12.96376633644104}
{'epoch': 0, 'global_step': 220, 'optimizer_step': 27, 'did_optimizer_step': False, 'loss': 2.7832700490951536, 'lr': 0.00016065573770491804, 'step_time_sec': 0.05699276924133301, 'optimizer_time_sec': 0.0, 'mem_alloc_gb': 1.2234420776367188, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 13.503647565841675}
{'epoch': 0, 'global_step': 230, 'optimizer_step': 28, 'did_optimizer_step': False, 'loss': 2.9986924171447753, 'lr': 0.00015901639344262296, 'step_time_sec': 0.05632162094116211, 'optimizer_time_sec': 0.0, 'mem_alloc_gb': 1.2234420776367188, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 14.067810297012329}
{'epoch': 0, 'global_step': 240, 'optimizer_step': 30, 'did_optimizer_step': True, 'loss': 2.924783229827881, 'lr': 0.0001557377049180328, 'step_time_sec': 0.05991244316101074, 'optimizer_time_sec': 0.0009112358093261719, 'mem_alloc_gb': 1.2214279174804688, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 14.633452415466309}
{'epoch': 0, 'global_step': 250, 'optimizer_step': 31, 'did_optimizer_step': False, 'loss': 2.8607770681381224, 'lr': 0.0001540983606557377, 'step_time_sec': 0.056455373764038086, 'optimizer_time_sec': 0.0, 'mem_alloc_gb': 1.2234420776367188, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 15.184484481811523}
{'epoch': 0, 'global_step': 260, 'optimizer_step': 32, 'did_optimizer_step': False, 'loss': 3.0050912141799926, 'lr': 0.00015245901639344262, 'step_time_sec': 0.054549455642700195, 'optimizer_time_sec': 0.0, 'mem_alloc_gb': 1.2234420776367188, 'mem_reserved_gb': 3.47265625, 'mem_peak_gb': 2.6277074813842773, 'elapsed_sec': 15.710942268371582}
