optimizer_name,run_name,learning_rate,epochs,num_train_samples,max_seq_len,micro_batch_size,grad_accum_steps,effective_batch_size,total_time_sec,peak_mem_gb,optimizer_steps,seed,device,num_log_rows,final_logged_loss,min_logged_loss,avg_last_10_loss,final_logged_lr,max_logged_mem_peak_gb,avg_step_time_sec,avg_optimizer_time_sec
adamw,adamw_lora_lr1e3,0.001,2,5000,512,4,1,4,319.30789613723755,7.546240329742432,2500,42,cuda,250,2.495924472808838,2.2294198870658875,2.517198991775513,0.0,7.546240329742432,0.1246402206420898,0.0009373321533203
muon,muon_lora_lr1e3,0.001,2,5000,512,4,1,4,398.8428611755371,7.544226169586182,2500,42,cuda,250,2.5028109550476074,2.240305757522583,2.529033961296081,0.0,7.544226169586182,0.1563421564102173,0.029266261100769
